Category,Kmer,Sample,Program,Score,Reads
Fragmented,KmerB,MM4,Transpi,2.9,"41,745,958"
Fragmented,KmerB,MM5,Transpi,1.7,"45,329,544"
Fragmented,KmerB,MM6,Transpi,2.5,"44,469,310"
Fragmented,KmerB,CE1,Transpi,1.8,"40,302,838"
Fragmented,KmerB,CE2,Transpi,1.4,"50,516,835"
Fragmented,KmerB,CE3,Transpi,2.2,"41,947,175"
Fragmented,KmerB,CE4,Transpi,1.9,"44,969,393"
Fragmented,KmerB,CE5,Transpi,2,"45,605,396"
Fragmented,KmerB,DM1,Transpi,0.8,"87,423,452"
Fragmented,KmerB,DM2,Transpi,0.6,"85,714,154"
Fragmented,KmerB,DM3,Transpi,0.9,"88,252,694"
Fragmented,KmerB,DM4,Transpi,0.5,"82,110,608"
Fragmented,KmerB,DM5,Transpi,1.1,"102,413,880"
Fragmented,KmerB,DM6,Transpi,0.4,"98,529,578"
Fragmented,KmerC,MM1,Transpi,1.1,"33,700,156"
Fragmented,KmerC,MM2,Transpi,0.8,"41,236,457"
Fragmented,KmerC,MM3,Transpi,0.9,"35,598,598"
Fragmented,KmerC,MM4,Transpi,2.9,"41,745,958"
Fragmented,KmerC,MM5,Transpi,1.9,"45,329,544"
Fragmented,KmerC,MM6,Transpi,2.5,"44,469,310"
Fragmented,KmerC,CE1,Transpi,1.9,"40,302,838"
Fragmented,KmerC,CE2,Transpi,1.8,"50,516,835"
Fragmented,KmerC,CE3,Transpi,2.4,"41,947,175"
Fragmented,KmerC,CE4,Transpi,2,"44,969,393"
Fragmented,KmerC,CE5,Transpi,1.9,"45,605,396"
Fragmented,KmerC,DM1,Transpi,1.4,"87,423,452"
Fragmented,KmerC,DM2,Transpi,0.8,"85,714,154"
Fragmented,KmerC,DM3,Transpi,1.1,"88,252,694"
Fragmented,KmerC,DM4,Transpi,0.8,"82,110,608"
Fragmented,KmerC,DM5,Transpi,1.4,"102,413,880"
Fragmented,KmerC,DM6,Transpi,0.8,"98,529,578"
Missing,KmerA,MM1,Transpi,0.8,"33,700,156"
Missing,KmerA,MM2,Transpi,1,"41,236,457"
Missing,KmerA,MM3,Transpi,1.1,"35,598,598"
Missing,KmerA,MM4,Transpi,3.1,"41,745,958"
Missing,KmerA,MM5,Transpi,2.4,"45,329,544"
Missing,KmerA,MM6,Transpi,3.1,"44,469,310"
Missing,KmerA,CE1,Transpi,12.2,"40,302,838"
Missing,KmerA,CE2,Transpi,12.1,"50,516,835"
Missing,KmerA,CE3,Transpi,13.7,"41,947,175"
Missing,KmerA,CE4,Transpi,14.3,"44,969,393"
Missing,KmerA,CE5,Transpi,14,"45,605,396"
Missing,KmerA,DM1,Transpi,1.8,"87,423,452"
Missing,KmerA,DM2,Transpi,1.7,"85,714,154"
Missing,KmerA,DM3,Transpi,2.2,"88,252,694"
Missing,KmerA,DM4,Transpi,2,"82,110,608"
Missing,KmerA,DM5,Transpi,2.1,"102,413,880"
Missing,KmerA,DM6,Transpi,1.6,"98,529,578"
Missing,KmerB,MM1,Transpi,1,"33,700,156"
Missing,KmerB,MM2,Transpi,1.1,"41,236,457"
Missing,KmerB,MM3,Transpi,1,"35,598,598"
Missing,KmerB,MM4,Transpi,3.1,"41,745,958"
Missing,KmerB,MM5,Transpi,2.5,"45,329,544"
Missing,KmerB,MM6,Transpi,3,"44,469,310"
Missing,KmerB,CE1,Transpi,12,"40,302,838"
Missing,KmerB,CE2,Transpi,12.4,"50,516,835"
Missing,KmerB,CE3,Transpi,13.6,"41,947,175"
Missing,KmerB,CE4,Transpi,14.2,"44,969,393"
Missing,KmerB,CE5,Transpi,13.6,"45,605,396"
Missing,KmerB,DM1,Transpi,1.7,"87,423,452"
Missing,KmerB,DM2,Transpi,2.1,"85,714,154"
Missing,KmerB,DM3,Transpi,2.4,"88,252,694"
Missing,KmerB,DM4,Transpi,1.8,"82,110,608"
Missing,KmerB,DM5,Transpi,2.4,"102,413,880"
Missing,KmerB,DM6,Transpi,1.8,"98,529,578"
Missing,KmerC,MM1,Transpi,0.8,"33,700,156"
Missing,KmerC,MM2,Transpi,1,"41,236,457"
